SPEC,VAREA,FAREA,SAREA,DAREA,MVWIDTH,MFWIDTH,MSWIDTH,MVCON,MFCON,CVWIDTH,CFWIDTH,CSWIDTH,CVCON,CFCON,B,CCP,CLS,COP,G,HCP,HCS,HLS,HOP,HSH,HSS,HSW,HW,MCP,MCS,MGF,MLS,MOP,MOS,MSH,NPATCH,MPSIZE,MPSHAPE,MPFRAC,CPSIZE,TEDGE,LFRAC,PRICH,SHANNON,SIMPSON,SHEVEN,SIEVEN,AMPSHP,CONEDGE,NOBLOCKS
GRJA,0.415454545,0.405454545,0.078090909,405.5454545,41.41818182,40.36363636,8.018181818,0.270090909,277,17.77572513,16.96038881,14.35171313,24.56645478,23.70712519,0.037272727,0,0.03,0,0,0.048181818,0,0.266363636,0.077272727,0.045454545,0.115454545,0.057272727,0.045454545,0.027272727,0.012727273,0,0.113636364,0.083636364,0.022727273,0.017272727,5.545454545,0.189502165,1.386554852,1.450480816,80.58278041,325.4545455,1.250416199,4.545454545,0.54303594,0.659509091,0.831489433,0.852717879,1.358569655,36.53181818,9
HAFL,0.3171875,0.2459375,0.0439375,283.78125,31.70625,24.60625,4.56875,0.228125,0.2675,22.37722675,22.74768136,9.038064284,30.08800527,27.45968635,0.0640625,0.0003125,0.1090625,0,0.0178125,0.0415625,0,0.14125,0.041875,0,0.060625,0.0065625,0.0096875,0.00625,0,0,0.4940625,0.0021875,0.0025,0.0021875,4875,0.242001488,1.421004721,1.457040437,101.1384033,279.8125,1.198332897,3.75,0.405798556,0.51529375,0.72408819,0.725564063,1.362524329,55.6484375,24
HAWO,0.356428571,0.28952381,0.05147619,343.7619048,35.60238095,28.96428571,5.233333333,0.228642857,0.253928571,21.22299672,23.8191795,13.51934907,26.2526833,27.48103549,0.065714286,0.000238095,0.182380952,0.003809524,0.016904762,0.110952381,0.001428571,0.098809524,0.119047619,0.003333333,0.006190476,0.023809524,0.028333333,0.021904762,0,0.06952381,0.167619048,0.048333333,0.029047619,0.002619048,4.214285714,0.261989796,1.427874419,1.447147734,92.50658856,256.2857143,1.192001575,3.5,0.408868639,0.53632381,0.791961588,0.786981508,1.344894183,51.37142857,31
HEWA,0.342990654,0.281588785,0.043962617,274.0934579,34.37102804,28.12990654,4.528037383,0.216962617,0.245672897,25.49200088,26.20435529,10.3736812,30.85603509,28.78225088,0.039065421,0.059439252,0.055700935,0.005233645,0.012056075,0.037383178,0.001308411,0.198037383,0.051028037,0.005981308,0.058598131,0.019906542,0.019252336,0.052056075,0.001308411,0.006074766,0.323925234,0.04728972,0.004672897,0.001682243,4.598130841,0.25200267,1.400734979,1.453498225,102.2712643,263.3925234,1.184678735,3.719626168,0.394139372,0.49268972,0.693535772,0.684286417,1.365553806,30.62242991,60
HOWR,1.103076923,1.103076923,0.047230769,650.5384615,134.4846154,134.2076923,4.8,0.1,0.100076923,13.76396388,13.80125721,6.426139109,9.823474359,9.694427241,0,0,0.081538462,0,0,0.087692308,0,0,0.002307692,0,0,0.319230769,0.418461538,0,0,0.072307692,0,0.018461538,0,0,3.076923077,0.326923077,1.460202403,1.449589466,87.32065304,191.3076923,1.13435116,2.615384615,0.32100186,0.452907692,0.777668425,0.744835897,1.333379251,24.10769231,6
HUVI,0.460952381,0.425238095,0.053761905,377.3809524,46.8047619,43.24285714,5.50952381,0.153333333,0.179095238,18.51281157,20.98526757,7.942129254,22.86726339,25.63597035,0.037619048,0.028571429,0.017619048,0,0.006190476,0.092857143,0.004285714,0.238571429,0.072380952,0.008095238,0.04047619,0.10047619,0.061904762,0.098095238,0,0,0.088095238,0.094285714,0.004761905,0.005714286,5.047619048,0.22467876,1.388547408,1.448626491,98.13348517,297.6666667,1.223555655,4.380952381,0.459523734,0.559228571,0.724152708,0.733029683,1.412143207,23.57142857,17
MALL,0.58,575,0.0995,475.1666667,58.81666667,58.21666667,10.2,0.2745,0.278333333,18.96172601,16.28973276,21.76213067,31.86326107,30.45338832,0,0,0,0,0,0.151666667,0,0.258333333,75,0.036666667,0,0.151666667,0.118333333,5,0.023333333,0,0.066666667,0.088333333,0.013333333,0.011666667,4.833333333,0.223809524,1.408007058,1.445052679,92.38273186,296.6666667,1.227991997,4.166666667,0.482820443,0.5933,0.789486339,0.795613333,1.440204931,41.94166667,5
MAMU,0.10125,0.09125,0.0205,63875,10175,9.65,2.1125,0.27575,0.30625,32.84444459,38.72245311,7.426561172,33.71213638,44.11454614,15,0.02,0.24,0,0,0,0,0,0,0,0.01,0,0,0.33375,0,0,0.36,0.02125,0,0,4625,0.342261905,1.406760152,1.475025362,139.9118082,196.75,1.013180067,3125,0.226298669,0.287775,0.428428256,0.410183333,1.218675619,32675,4
MGWA,0.580392157,0.550588235,0.062039216,397.5490196,57.76470588,54.75098039,6.223529412,0.195882353,0.208333333,20.42000046,18.01441918,12.80171202,25.69311155,24.92837885,0.024117647,0,0.038823529,0.00627451,0.015882353,0.156470588,0.019215686,0.019607843,0.204901961,0.039411765,0.000588235,0.155686275,0.120980392,0.001176471,0.005490196,0.025098039,0.00254902,0.090588235,0.061176471,0.011960784,4.215686275,0.254154995,1.445497473,1.452103808,81.74607587,263.0392157,1.200236498,4.039215686,0.472924473,0.599180392,0.802977016,0.818890523,1.352513062,36.85980392,27
MOQU,0.64,0.64,0.0585,312.5,62.35,62.35,5.95,106,106,27.56883335,27.56883335,19.58188534,39.87738284,39.87738284,0,0,0,0,0,0.5,0,0,0,0.14,0,0,0.09,0,0,0,0,0.17,0.1,0,4,0.266666667,1.505770558,1.441858016,74.64333576,271.5,1.211723386,4,0.492870209,594,0.813838844,0.7948,1.345965609,21.6,2
